district,school,source_address
Anahawan District,122063 Amagusan MGES,"AMAGUSAN, ANAHAWAN, SOUTHERN LEYTE"
Anahawan District,122065 Anahawan CS,"Poblacion, Anahawan, Southern Leyte"
Anahawan District,122070 Capacuhan ES,"CAPACUHAN, ANAHAWAN, SOUTHERN LEYTE"
Anahawan District,122074 Mahalo ES,"MAHALO, ANAHAWAN, SOUTHERN LEYTE"
Anahawan District,122075 Manigawong MGES,"Manigawong, Anahawan, Southern Leyte"
Anahawan District,122308 Anahawan ES,"ANAHAWAN, TOMAS OPPUS, SOUTHERN LEYTE"
Anahawan District,192001 Calinta-an MGES,"CALINTAAN, ANAHAWAN, SOUTHERN LEYTE"
Anahawan District,192011 Lewing MGES,"LEWING, ANAHAWAN, SOUTHERN LEYTE"
Hinunangan District,122023 Ambacon PS,"AMBACON,HINUNANGAN,SOUTHERN LEYTE"
Hinunangan District,122024 Biasong ES,"BIASONG, HINUNANGAN SOUTHERN LEYTE"
Hinunangan District,122025 Bugho ES,"BUGHO, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122026 Calag-Itan ES,"CALAG-ITAN, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122027 Calinao ES,"CALINAO, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122028 Canipaan ES,"CANIPAAN,HINUNANGAN,SOUTHERN LEYTE"
Hinunangan District,122029 Catublian ES,"CATUBLIAN, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122030 Hinunangan ECS,"POBLACION , HINUNANGAN SOUTHERN LEYTE"
Hinunangan District,122031 Hinunangan WCS,"LABRADOR,HINUNANGAN,SOUTHERN LEYTE"
Hinunangan District,122032 Ilaya ES,"ILAYA, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122033 Ingan ES,"INGAN, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122034 Kabaskan PS,"KABASKAN,TUBURAN,HINUNANGAN,SOUTHERN LEYTE"
Hinunangan District,122035 Libas ES,"LIBAS, HINUNANGAN SOUTHERN LEYTE"
Hinunangan District,122036 Lumbog PS,"LUMBOG, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122037 Manalog ES,"MANALOG, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122038 Manlico ES,"MANLICO, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122039 Matin-ao ES,"MATIN-AO, HINUNANGAN,SOUTHERN LEYTE"
Hinunangan District,122040 Nava ES,"NAVA, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122041 Nueva Esperanza ES,"NUEVA EZPERANZA, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122042 Otama ES,"Otama, Hinunangan Southern Leyte"
Hinunangan District,122043 Palongpong ES,"Palongpong, Hinunangan Southern Leyte"
Hinunangan District,122044 Patong ES,"PATONG, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122045 Pondol ES,"PONDOL, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122046 San Pablo ES,"SAN PABLO ISLAND, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122047 San Pedro ES,"SAN PEDRO, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122048 Sto. Nino II ES,"STO.NINO II, HINUNANGAN SOUTHERN LEYTE"
Hinunangan District,122049 Tahusan ES,"TAHUSAN, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,122050 Tawog PS,"TAWOG,HINUNANGAN"
Hinunangan District,122051 Tuburan ES,"TUBURAN, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,192013 Senda PS,"SENDA, NAVA, HINUNANGAN, SOUTHERN LEYTE"
Hinunangan District,303447 Hinunangan NHS(Canipaan NHS - Hinunangan Annex),"Bangcas A/B, Hinunangan, Southern Leyte"
Hinunangan District,303473 Nava NHS,"Nava, Hinunangan, Southern Leyte"
Hinundayan District,122062 Amaga ES,"Amaga, Hinundayan, Southern Leyte"
Hinundayan District,122064 Ambao ES,"BARANGAY AMBAO, HINUNDAYAN, SOUTHERN LEYTE"
Hinundayan District,122066 An-An ES,"BRGY. AN-AN HINUNDAYAN,SOUTHERN LEYTE"
Hinundayan District,122068 Bugho ES,"BUGHO, HINUNDAYAN SOUTHERN LEYTE"
Hinundayan District,122069 Cabulisan MGES,"CABULISAN,HINUNDAYAN,SOUTHERN LEYTE"
Hinundayan District,122071 Hinundayan CS,"RIZAL STREET DISTRICT III HINUNDAYAN,  SOUTHERN LEYTE"
Hinundayan District,122072 Hubasan ES,"HUBASAN, HINUNDAYAN, SOUTHERN LEYTE"
Hinundayan District,122073 Lungsodaan ES,"BARANGAY LUNGSODAAN, HINUNDAYAN, SOUTHERN LEYTE"
Hinundayan District,122076 Plaridel ES,"PLARIDEL,HINUNDAYAN,SOUTHERN LEYTE"
